rating,likes,tipcount
9.1,47,22
9,202,21
9.4,808,93
9.1,112,18
9.2,110,8
9.4,281,28
9.2,143,15
8.8,91,20
9.2,249,31
8.7,75,3
8.6,100,20
8.7,194,46
8.5,58,10
8.7,43,12
8.8,110,12
8.6,34,2
8.4,35,7
8.4,13,3
8.3,230,46
8.4,108,30
8.3,25,4
8.4,14,7
8.2,111,26
8.5,23,2
8.2,32,8
8.1,579,55
8.1,52,25
8.2,72,30
8.2,9,0
8.6,119,25
8.2,10,0
8.1,72,26
8.6,50,21
8.1,45,5
8,71,21
7.9,25,6
8,54,15
8,18,7
9.1,74,21
7.8,16,4
7.9,18,5
8,191,35
8.1,8,0
8.3,24,3
8.4,11,3
7.8,132,72
8.2,21,0
7.7,80,22
7.8,27,3
8.5,14,0
9.1,41,19
7.8,10,1
8.5,196,102
7.8,9,0
7.6,28,8
8,16,4
9.1,53,22
8.9,43,14
9.4,141,28
7.8,11,1
7.7,52,29
7.6,90,45
9.1,174,22
7.7,22,10
8.4,49,27
7.6,6,1
7.7,37,11
7.6,21,10
7.7,174,71
7.7,64,11
8,10,4
8.7,37,9
7.6,18,7
8.8,57,13
7.5,17,7
7.6,58,14
7.7,33,8
8.2,65,25
7.5,73,34
8.6,29,14
8.5,48,1
